Comment,Designator,Footprint,LCSC,Quantity
1 uF,"C1,C2",C_0402_1005Metric,C52923,2
100R,R13,R_0402_1005Metric,C25076,1
100k,R60,R_0402_1005Metric,C25741,1
10k,R1,R_0402_1005Metric,C25744,1
10uF,"C11,C15",C_0603_1608Metric,C19702,2
120,R50,R_1206_3216Metric,C17909,1
1uF,"C13,C19",C_0402_1005Metric,C52923,2
200k,R40,R_0402_1005Metric,C25764,1
4.7uF,"C10,C36,C39",C_0402_1005Metric,C23733,3
AD7175-8BCPZ-RL7,IC6,QFN50P600X600X80-41N-D,C578395,1
5V TP,TP7,TestPoint_Pad_1.0x1.0mm,,1
5V_usb,TP12,TestPoint_Pad_1.0x1.0mm,,1
LT3973EMSE-5#PBF,IC11,SOP50P490X110-11N,,1
0.47uF,C38,C_0402_1005Metric,,1
0.1uF,C40,C_0402_1005Metric,,1
0.1uF,C21,C_0402_1005Metric,,1
749013011,T1,749013011,,1
AD8591ARTZ-REEL7,IC8,SOT95P280X145-6N,,1
0.1uF,C20,C_0402_1005Metric,,1
120R (0.1%),R38,R_0402_1005Metric,,1
0.1uF,C16,C_0402_1005Metric,,1
5V_buck,TP11,TestPoint_Pad_1.0x1.0mm,,1
120R (0.1%),R24,R_0402_1005Metric,,1
0.1uF,C26,C_0402_1005Metric,,1
INA827AIDGK,IC5,SOP65P490X110-8N,,1
MOSI_ESP,TP2,TestPoint_Pad_1.0x1.0mm,,1
0.1uF,C18,C_0402_1005Metric,,1
MISO_ESP,TP1,TestPoint_Pad_1.0x1.0mm,,1
0.1uF,C27,C_0402_1005Metric,,1
0.1uF,C23,C_0402_1005Metric,,1
215k,R9,R_0402_1005Metric,,1
0.1uF,C14,C_0402_1005Metric,,1
0.1uF,C8,C_0402_1005Metric,,1
120R (0.1%),R22,R_0402_1005Metric,,1
22uF,C61,C_0603_1608Metric,,1
80 (0.1%),R25,R_0402_1005Metric,,1
Battery_Cell,BT1,BatteryHolder_LINX_BAT-HLD-012-SMT,,1
120R (0.1%),R21,R_0402_1005Metric,,1
80 (0.1%),R12,R_0402_1005Metric,,1
0.1uF,C17,C_0402_1005Metric,,1
TPS2115APWR,U4,SOP65P640X120-8N,,1
0.1uF,C22,C_0402_1005Metric,,1
